code,name,pl,og,pc,dq,ae,op,topsis_score
guangdong,广东省,1,1,1,1,1,1,1.0
shandong,山东省,1,1,1,1,1,1,0.5399586397119156
zhejiang,浙江省,1,1,1,1,1,1,0.4151096725497124
hainan,海南省,1,1,1,1,1,1,0.3367828295960768
chongqing,重庆市,1,1,1,1,1,1,0.28689891985453314
hubei,湖北省,1,1,1,1,1,1,0.2623390268156422
guizhou,贵州省,1,1,1,1,1,1,0.19921204713441015
shanghai,上海市,1,1,1,1,1,1,0.19865108921691488
guangxi,广西壮族自治区,1,1,1,1,1,1,0.1830383636684322
sichuan,四川省,1,1,1,1,1,1,0.18132481534431413
beijing,北京市,1,1,1,1,1,1,0.18099823366893106
fujian,福建省,0,1,1,1,0,0,0.1777975816352655
liaoning,辽宁省,0,1,1,1,0,0,0.17762160248073336
jiangsu,江苏省,0,1,1,1,0,0,0.17161197577886314
hunan,湖南省,0,1,1,1,0,0,0.1715989538200123
jiangxi,江西省,0,1,1,1,0,0,0.1714700674398529
jilin,吉林省,0,1,1,1,0,0,0.17118159257225324
neimenggu,内蒙古自治区,0,1,1,1,0,0,0.17107988823194364
tianjin,天津市,0,1,1,1,0,0,0.16576584305858608
henan,河南省,0,0,0,0,0,0,0.0825978226961102
yunnan,云南省,0,0,0,0,0,0,0.08225797994009801
shanxi,山西省,0,0,0,0,0,0,0.0
