code,name,region,topsis_score,dea_efficiency,operating_years,function_score
anhui,安徽省,华东,0.023181892853078933,1.0,4,1
beijing,北京市,华北,0.999999999727148,0.9999999999999998,11,10
chongqing,重庆市,西南,0.3605738237383494,0.9999999999999944,10,5
fujian,福建省,华东,0.05137734630999316,0.9999999999999686,8,2
guangdong,广东省,华南,0.2509286982914813,1.0000000000000324,11,4
guangxi,广西壮族自治区,华南,0.7552581477184751,1.0000000000001366,7,9
guizhou,贵州省,西南,0.05137734630999316,0.9999999999999998,11,2
hainan,海南省,华南,0.5463105929891475,0.9999999999999566,8,8
henan,河南省,华中,0.3767259216843487,0.9999999999999998,9,6
hubei,湖北省,华中,0.34640440559655883,1.0000000000000275,7,5
hunan,湖南省,华中,0.5343916925960738,0.9999999999998296,7,8
jiangsu,江苏省,华东,0.42965815488526105,0.999999999999997,8,6
jiangxi,江西省,华东,0.24785584336473668,1.0000000000000322,9,3
jilin,吉林省,东北,0.3284140292320201,0.9999999999999788,9,4
liaoning,辽宁省,东北,0.999999999727148,0.9999999999999999,3,10
neimenggu,内蒙古自治区,华北,0.999999999727148,0.9999999999999999,9,10
shandong,山东省,华东,0.999999999727148,1.0000000000000002,9,10
shanxi,山西省,华北,0.5331944955370318,1.0000000000000027,2,7
sichuan,四川省,西南,0.7552581477184751,0.8494541224607037,8,9
tianjin,天津市,华北,0.39046012322601636,1.0000000000000104,10,6
yunnan,云南省,西南,0.48035901378720613,0.9999999999999996,9,5
zhejiang,浙江省,华东,0.3304868114348617,1.000000000000026,12,5
