code,name,region,dataset_count,score_c1,score_c2,score_c3,score_c4,app_count,has_api,has_bulk_download,has_https,has_search,has_download,has_visualization,has_update_info,has_metadata,has_feedback,has_register,has_preview
shandong,山东省,华东,63656,0.8,0.8,1.0,1.0,108,1,0,1,1,1,1,1,1,1,1,1
liaoning,辽宁省,东北,4120,0.8,1.0,1.0,0.6,0,1,0,1,1,1,1,1,1,1,1,1
sichuan,四川省,西南,9115,0.92,0.8,1.0,0.6,0,1,1,1,1,1,1,1,1,1,1,1
guangxi,广西壮族自治区,华南,10162,0.64,1.0,1.0,0.6,0,1,0,1,1,1,1,1,1,1,1,1
beijing,北京市,华北,4454,0.76,0.8,1.0,0.6,0,1,0,1,1,1,1,1,1,1,1,1
hunan,湖南省,华中,634,0.534,1.0,1.0,0.6,0,1,0,1,1,1,1,1,1,1,1,1
hainan,海南省,华南,35835,0.64,0.8,1.0,0.6,0,1,0,1,1,1,0,1,1,1,1,1
neimenggu,内蒙古自治区,华北,219,0.368,1.0,1.0,0.6,0,1,0,1,1,1,1,1,1,1,1,1
shanxi,山西省,华北,534,0.494,0.7,1.0,0.6,0,1,0,0,1,0,1,1,1,1,1,1
henan,河南省,华中,931,0.612,0.8,0.7,0.6,0,1,0,1,1,0,1,1,1,0,1,1
jiangsu,江苏省,华东,644,0.538,1.0,0.7,0.3,0,1,0,1,1,1,1,1,1,0,1,0
tianjin,天津市,华北,3344,0.48,0.7,0.7,0.6,0,0,0,1,1,0,1,1,1,0,1,1
chongqing,重庆市,西南,22550,0.64,0.6,0.7,0.3,0,1,0,1,0,0,1,1,1,0,0,1
guangdong,广东省,华南,97528,0.64,0.6,0.7,0.3,0,1,0,1,1,0,0,1,1,0,0,1
hubei,湖北省,华中,24119,0.44,0.7,0.7,0.3,0,0,0,1,1,1,0,1,1,0,0,1
zhejiang,浙江省,华东,38000,0.4,0.7,0.7,0.3,0,0,0,1,1,0,1,1,1,0,0,1
guizhou,贵州省,西南,9042,0.48,0.3,0.7,0.3,0,0,0,1,0,0,0,1,1,0,0,1
jiangxi,江西省,华东,534,0.254,0.5,0.7,0.3,0,0,0,1,0,1,0,1,1,0,0,1
jilin,吉林省,东北,303,0.121,0.5,0.7,0.3,0,0,0,1,0,1,0,1,1,0,0,1
fujian,福建省,华东,6722,0.4,0.1,0.7,0.3,0,0,0,1,0,0,0,1,1,0,0,1
yunnan,云南省,西南,428,0.171,0.3,0.7,0.3,0,0,0,1,1,0,0,1,1,0,0,1
shanghai,上海市,华东,10753,0.4,0.3,0.7,0.0,0,0,0,1,0,0,0,1,1,0,0,0
anhui,安徽省,华东,0,0.16,0.2,0.7,0.0,0,0,0,0,0,0,0,1,1,0,0,0
hebei,河北省,华北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
xizang,西藏自治区,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
shaanxi,陕西省,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
gansu,甘肃省,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
qinghai,青海省,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
ningxia,宁夏回族自治区,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
xinjiang,新疆维吾尔自治区,西北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
heilongjiang,黑龙江省,东北,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0
