code,name,region,topsis_score,topsis_rank,has_https,has_search,has_download,has_api,has_visualization,has_update_info,has_metadata,has_feedback,has_register,has_preview,has_bulk_download
anhui,安徽省,华东,0.023181892853078933,22,0,0,0,0,0,0,0,0,0,1,0
beijing,北京市,华北,0.999999999727148,2,1,1,1,1,1,1,1,1,1,1,0
chongqing,重庆市,西南,0.3605738237383494,14,1,0,0,1,1,0,1,0,0,1,0
fujian,福建省,华东,0.05137734630999316,20,1,0,0,0,0,0,0,0,0,1,0
guangdong,广东省,华南,0.2509286982914813,18,1,1,0,1,0,0,0,0,0,1,0
guangxi,广西壮族自治区,华南,0.7552581477184751,5,1,1,1,1,1,1,0,1,1,1,0
guizhou,贵州省,西南,0.05137734630999316,20,1,0,0,0,0,0,0,0,0,1,0
hainan,海南省,华南,0.5463105929891475,7,1,1,1,1,0,0,1,1,1,1,0
henan,河南省,华中,0.3767259216843487,13,1,1,0,1,1,0,0,0,1,1,0
hubei,湖北省,华中,0.34640440559655883,15,1,1,1,0,0,0,1,0,0,1,0
hunan,湖南省,华中,0.5343916925960738,8,1,1,1,1,1,0,0,1,1,1,0
jiangsu,江苏省,华东,0.42965815488526105,11,1,1,1,1,1,0,0,0,1,0,0
jiangxi,江西省,华东,0.24785584336473668,19,1,0,1,0,0,0,0,0,0,1,0
jilin,吉林省,东北,0.3284140292320201,17,1,0,1,0,0,0,1,0,0,1,0
liaoning,辽宁省,东北,0.999999999727148,2,1,1,1,1,1,1,1,1,1,1,0
neimenggu,内蒙古自治区,华北,0.999999999727148,2,1,1,1,1,1,1,1,1,1,1,0
shandong,山东省,华东,0.999999999727148,2,1,1,1,1,1,1,1,1,1,1,0
shanxi,山西省,华北,0.5331944955370318,9,0,1,0,1,1,0,1,1,1,1,0
sichuan,四川省,西南,0.7552581477184751,5,1,1,1,1,1,1,0,1,1,1,0
tianjin,天津市,华北,0.39046012322601636,12,1,1,0,0,1,0,1,0,1,1,0
yunnan,云南省,西南,0.48035901378720613,10,1,1,0,0,0,1,1,0,0,1,0
zhejiang,浙江省,华东,0.3304868114348617,16,1,1,0,0,1,0,1,0,0,1,0
