案例,平台名称,政策环境(PL),开放程度(OG),平台能力(PC),数据质量(DQ),应用效果(AE),运营保障(OP),结果(TOPSIS得分),校准值_结果
1,广东省,1,1,1,1,1,1,1.0000,1.0
2,山东省,1,1,1,1,1,1,0.5400,0.85
3,浙江省,1,1,1,1,1,1,0.4151,0.75
4,海南省,1,1,1,1,1,1,0.3368,0.70
5,重庆市,1,1,1,1,1,1,0.2869,0.65
6,湖北省,1,1,1,1,1,1,0.2623,0.60
7,贵州省,1,1,1,1,1,1,0.1992,0.55
8,上海市,1,1,1,1,1,1,0.1987,0.55
9,广西壮族自治区,1,1,1,1,1,1,0.1830,0.50
10,四川省,1,1,1,1,1,1,0.1813,0.50
11,北京市,1,1,1,1,1,1,0.1810,0.50
12,福建省,0,1,1,1,0,0,0.1778,0.45
13,辽宁省,0,1,1,1,0,0,0.1776,0.45
14,江苏省,0,1,1,1,0,0,0.1716,0.40
15,湖南省,0,1,1,1,0,0,0.1716,0.40
16,江西省,0,1,1,1,0,0,0.1715,0.40
17,吉林省,0,1,1,1,0,0,0.1712,0.40
18,内蒙古自治区,0,1,1,1,0,0,0.1711,0.40
19,天津市,0,1,1,1,0,0,0.1658,0.35
20,河南省,0,0,0,0,0,0,0.0826,0.20
21,云南省,0,0,0,0,0,0,0.0823,0.20
22,山西省,0,0,0,0,0,0,0.0000,0.00
23,安徽省,1,1,1,1,1,1,0.5800,0.80
